,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0,1908,09,17
,"AtlantiCity, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0,1912,07,12
,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,1,1,0,1913,08,06
,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),20,14,0,1913,09,09
,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),30,30,0,1913,10,17
,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),41,21,0,1915,03,05
,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),19,19,0,1915,09,03
,"Near Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),20,20,0,1916,07,28
,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),22,22,0,1916,09,24
,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),19,19,0,1916,10,01
,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),28,27,0,1916,11,21
,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),20,20,0,1916,11,28
,"Near Gent, Belgium",Military - German Army,,Airship,20,20,0,1917,03,04
,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,23,0,1917,03,30
,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),21,21,0,1917,05,14
,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),24,24,0,1917,06,14
,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),18,18,0,1917,08,21
,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),18,18,0,1917,10,20
,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),23,23,0,1918,04,07
,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),22,22,0,1918,05,10
,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),19,19,0,1918,08,11
,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1918,12,16
,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1919,05,25
,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1919,07,19
,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,1,1,0,1919,10,02
,"Cantonsville, Maryland",US Aerial Mail Service,,Curtiss R-4LM,1,1,0,1919,10,14
,English Channel,Aircraft Transport and Travel,,De Havilland DH-4,,,,1919,10,20
,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,1,1,0,1919,10,30
,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,03,10
,"Newark, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,03,30
,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,2,1,0,1920,04,10
,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,2,1,0,1920,04,11
,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,2,1,0,1920,05,12
,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,06,06
,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,1,1,0,1920,08,16
,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,08,16
,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,2,2,0,1920,09,01
,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,2,2,0,1920,09,15
,"Hillersburg, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,09,27
,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,2,2,0,1920,10,02
,"Valencia, Spain",Latecoere Airlines,,Breguet 14,2,2,0,1920,10,05
,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,10,15
,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1920,11,07
,"Cricklewood, England",Handley Page Transport,,Handley Page HP-16,8,4,0,1920,12,14
,"Barcelona, Spain",Aeropostale,,Breguet 14,1,1,0,1920,12,24
,"Mendotta, Minnisota",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1921,02,03
,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,3,3,0,1921,02,09
,Off Gibraltar,Aeropostale,,Breguet 14,2,2,0,1921,02,15
,"Elko, Nevada",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1921,02,22
,"Point Cook, Australia",Military - Royal Australian Air Force,,,2,1,0,1921,04,06
,"Mitchel Field, NY",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1921,04,21
,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1921,04,29
,"Rock Springs, Wyoming",US Aerial Mail Service,,,1,1,0,1921,05,17
,"San Francisco, California",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1921,07,16
,"Toulouse, France",Aeropostale,,Breguet 14,2,2,0,1921,08,14
,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),46,46,1,1921,08,24
,"Paris, France",Franco-Roumaine,Varsovie - Strasbourg - Paris,Potez IX,5,5,0,1921,09,06
,"Near Murchinson River, Australia",West Australian Airways,,Bristol 28 Tourer,3,3,0,1921,12,05
,"Paris, France",Handley Page Transport,,Handley Page O/10,5,5,5,1922,01,14
,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,Dirigible Roma (airship),45,34,0,1922,02,21
,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,de Havilland DH-18 / Farman F-60 Goliath,7,7,0,1922,04,07
,"Pao Ting Fou, China",,,,17,17,0,1922,04,08
,"Brooklands, England",Vickers,,Vickers Viking,3,3,0,1922,04,13
,"Nittany Mt, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1925,10,01
,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,Bleriot Spad 27,3,3,0,1922,06,03
,"Cadix, Spain",Grands Express Aeriens,,Breguet 14,3,3,0,1922,07,26
,"Indianapolis, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1922,09,07
,"Venice, Italy",,,de Havilland DH-9,4,4,0,1922,10,02
,"Larache, Morocco",Grands Express Aeriens,,Breguet 14,2,2,0,1922,10,25
,"Fez, Morocco",Grands Express Aeriens,,Breguet 14,1,1,0,1922,12,03
,"Ajaccio, France",Amee de l'Air,,Lioré-et-Olivier H-13,4,3,0,1923,01,10
,"Barcelona, Spain",Grands Express Aeriens,,Breguet 14,1,1,0,1923,01,17
,"Cheyenne, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1923,01,18
,"Meadville, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1923,02,26
,"Monsures, France",Grands Express Aeriens,,Farman F-60 Goliath,6,6,0,1923,05,14
,"Bucharest, Romania",Campagnie France Roumaine,,Blériot Spad 46,2,2,0,1923,08,27
,"Colton, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1923,09,07
,"Berks, England",Daimler Airways,,de Havilland DH-34,6,6,0,1923,09,14
,Russia,CCCP,,Junkers F-13,4,2,0,1923,11,18
,"Castalia, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1923,12,06
,Over the Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52,52,0,1923,12,23
,"Egbert, WY",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1923,12,24
,"Grampian, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1924,03,07
,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,3,0,1924,04,24
,"Barranquilla, Colombia",SCADTA,,Junkers F-13,3,3,0,1924,06,08
,United States,US Aerial Mail Service,,De Havilland DH-4,1,1,0,1924,08,01
,"Cabrerolles, France",Grands Express Aeriens,,,1,1,0,1924,11,06
,"Goshen, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,1,0,1924,12,21
,"Purley, England",Imperial Airways,,de Havilland DH-34B,8,8,0,1924,12,24
,"Near Tiflies, Georgia, USSR",Zakavia,,Junkers F-13,5,5,0,1925,03,22
,"Alicante, Spain",Grands Express Aeriens,,Breguet 14,4,4,0,1925,04,25
,"Alicante, Spain",Lignes Aeriennes Latecoere,,Breguet 14,2,2,0,1925,05,25
,"Landrécies, France",KLM Royal Dutch Airlines,,Fokker (KLM)  F.III,4,4,0,1925,06,25
,"Alicante, Spain",Grands Express Aeriens,,Lioré-et-Olivier H-13,2,2,0,1925,06,26
,"Rosas, Spain",Lignes Aeriennes Latecoere,,Breguet 14,1,1,0,1925,07,20
,"Budapest, Hungary",CIDNA,,Potez IX,1,1,0,1925,07,24
,"Caldwell, Ohio",Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43,14,0,1925,09,03
,"Toul, France",CIDNA,,,3,3,0,1925,09,07
,"Off Boulogne-sur-Mer, France",Air Union,,Farman F-60 Goliath,2,2,0,1925,11,14
,"Montpelier, Ohio",US Aerial Mail Service,,Curtiss Carrier Pigeon,1,1,0,1926,02,12
,"Staaken, Germany",Deutche Lufthansa,,Junkers F-13,1,1,0,1926,03,08
,English Channel,Air Union,,Breguet 14,1,1,0,1926,05,31
,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague,Caudron C-61,7,7,0,1926,07,03
,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,Fokker F-4,2,2,0,1926,07,09
,"Juist, Germany",Deutsche Lufthansa,,Junkers F-13,4,4,0,1926,07,24
,"Hurst, Kent, England",Air Union,,Bleriot 155,4,4,0,1926,08,18
,"New York, New York",,New York - Paris,Sikorsky S-25,5,2,0,1926,09,26
,"Bueren, Germany",Deutsche Lufthansa,,Fokker FG III,4,4,0,1926,10,08
,English Channel,Imperial Airways,,Handley Page W-10,12,0,0,1926,10,21
,"Cape Bojador, Morocco",Grands Express Aeriens,,Breguet 14,3,3,0,1926,11,11
,"Medford, Oregon",PacifiAir Transport,,Ryan M-1,1,1,0,1926,12,16
,"Lille, France",KLM Royal Dutch Airlines,,Fokker F-VII,2,2,0,1927,01,12
,"Rabat, Morocco",Grands Express Aeriens,,Breguet 14,1,1,0,1927,03,20
,"Tambo, Qld, Australia",Qantas,,de Havilland DH-9C,3,3,0,1927,03,24
,"King Hill, Idaho",Varney Air Lines,,,1,1,0,1927,04,15
,"Goshen, Indiana",US Aerial Mail Service,,Douglas M-4,1,1,0,1927,04,22
,"Floh, Germany",Deutsche Lufthansa,,Fokker FG III,2,2,0,1927,04,22
,"Algiers, Algeria",Air Union,,SPCA Meteore 63,3,1,0,1927,05,02
,"Amoneburg, Germany",Deutsche Lufthansa,,Junkers F-13,5,5,0,1927,07,27
,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,11,1,0,1927,08,22
,"Willington, Connecticut",Colonial Air Transport,,Fokker Universal,1,1,0,1927,09,03
,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,12,7,0,1927,09,17
,"Saale, Germany",Deutsche Lufthansa,,BFW M-18,4,2,0,1927,09,22
,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,6,6,0,1927,09,23
,"Thies, Mauritania",Lignes Aeriennes Latecoere,,Breguet 14,2,2,0,1927,10,06
,"New Brunswick, New Jersey",Colonial Air Transport,,Fairchild FC-2,4,4,0,1927,10,30
,"Strasburg, France",CIDNA,,Farman F-121 Jabiru,1,1,0,1927,11,16
,Over the Gulf of Finland,Aero O-Y,,Junkers F-13,6,6,0,1927,11,16
,"Corunna, Indiana",National Air Transport,,Douglas M-4,1,1,0,1927,11,29
,"Almeria, Spain",Aeropostale,,Breguet 14,2,2,0,1927,12,26
,"Abuerio, Spain",Aeropostale,,Breguet 14,1,1,0,1927,12,28
,France,Latecoere Airlines,,Latécoère 23,4,4,0,1927,12,31
,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,3,0,1928,01,08
,"Solis, Uruguay",Aeropostale,,Latecoere 25,2,2,0,1928,01,16
,"Tarragona, Spain",Aeropostale,,Breguet 14,2,2,0,1928,01,22
,France,Aeropostale,,Breguet 14,2,1,0,1928,01,22
,"Almeria, Spain",Aeropostale,,Breguet 14,1,1,0,1928,01,27
,"Marquette, Nebraska",Boeing Air Transport,,Boeing 40,2,1,0,1928,02,26
,"Rio de Janeiro, Brazil",,,,10,10,0,1928,03,03
,"Off Cape Griz Nez, France",Air Union,,Farman F-60 Goliath,2,2,0,1928,03,11
,"Federal, Wyoming",Boeing Air Transport,,Boeing 40,2,1,0,1928,04,17
,"Minuesa, Spain",Iberia Airlines,,Rohrbach Roland,9,9,0,1928,04,19
,,Aeropostale,,Latecoere 26,1,1,0,1928,05,07
,"Dearborn, Minnesota",Ford Air Freight Inc.,,Ford 4,2,2,0,1928,05,12
,"Radevormwald, Germany",Deutsche Lufthansa,,Junkers F-13,5,3,0,1928,05,26
,"Frankfurt, Germany",Deutsche Lufthansa,,AEGK,5,5,0,1928,06,14
,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,1,1,0,1928,06,22
,Over the Gulf of Finland,Aero O-Y,,Junkers F-13,6,6,0,1928,07,10
,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,4,4,0,1928,07,13
,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,Fokker (KLM) F.III,1,1,0,1928,07,24
,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,7,0,1928,08,25
,"Toul, France",CIDNA,,Bleriot Spad 56,3,3,0,1928,09,02
,"Adelaide Hills, Australia",Qantas,,de Havilland DH.50J,2,1,0,1928,09,04
,"Pocatello, Idaho",National Parks Airways,,Fokker Super Universal,7,7,0,1928,09,04
,"Heroldbach, Germany",Deutsche Lufthansa,,Fokker FG III,3,3,0,1928,09,06
,"Gerona, Spain",Aeropostale,,Breguet 14,3,3,0,1928,10,04
,"Polk, Pennsylvania",National Air Transport,,Douglas M-4,1,1,0,1928,10,18
,"Valence, France",Air Union,,Bleriot Spad 56,2,1,0,1928,10,31
,Off Gibraltar,Aeropostale,,Latecoere 32,2,1,0,1928,11,15
,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,3,3,0,1928,11,24
,"Bristolville, Ohio",National Air Transport,,Douglas M-4,1,1,0,1928,11,25
,"Edgerton, Ohio",Continental Air Lines,Cleveland - Louisville,Travel Air 4000,3,3,0,1928,11,25
,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5,5,0,1928,12,01
,Brazil,Syndicato Condor,,Dornier Wal,14,14,0,1928,12,03
,"Rio de Janeiro, Brazil",,,Junkers G24,6,6,0,1928,12,04
,"Letzlingen, Germany",Deutsche Lufthansa,,Junkers G-31,4,3,0,1928,12,11
,"Huron, Ohio",National Air Transport,Cleveland - Chicago,Douglas M-4,1,1,0,1928,12,20
,"Chattanooga, Tennessee",Interstate Airlines,,Fairchild FC-2,4,4,0,1928,12,23
,"Reims, France",CIDNA,,Blériot Spad 66,3,2,0,1928,12,31
,"Stafford Springs, Connecticut",Colonial Air Transport,,Fairchild FC-2,1,1,0,1929,01,05
,"Cove, Oregon",Varney Air Lines,,Stearman C-38,1,1,0,1929,01,18
,"Near Corfu, Greece",Aeroespresso,,CMASA Wal,9,2,0,1929,01,25
,"Morgantown, West Virginia",Skyline Transportation Company,,Travel Air 4000,1,1,0,1929,01,31
,Off Morocco,Aeropostale,,Latecoere 26,2,2,0,1929,01,31
,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15,14,0,1929,03,17
,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,4,0,1929,03,30
,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6,0,1929,04,21
,Hungary,MALERT,,Fokker F-III,2,2,0,1929,05,18
,Algiers,Aeropostale,,Cams 53,5,4,0,1929,05,22
,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,5,2,0,1929,06,10
,"Barcelona, Spain",Aeropostale,,Breguet 14,2,1,0,1929,06,14
,"Off Dungeness, England",Imperial Airways,,Handley Page W-10,13,7,0,1929,06,17
,"St. Paul, Minnesota",Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8,1,0,1929,06,24
,"Lake Constance, Switzerland",Aero Lloyd,,Domier Delphin III,5,5,0,1929,06,29
,"Columbus, Ohio",Continental Air Lines,,Travel Air 4000,1,1,0,1929,06,29
,"Clovis, New Mexico",Middle States Airlines,,Lockheed Vega,4,4,0,1929,08,11
,"Perpignan, France",Aeropostale,,Breguet 14,1,1,0,1929,08,13
,"Sochi, Russia",Ukvozduchput,,Kalinin K-4,1,1,0,1929,08,24
,"Elm, Germany",Deutsche Lufthansa,,Fokker FG II,5,4,0,1929,08,24
,"Needles, California",Associated Aviators,,Lockheed Vega,2,1,0,1929,09,02
,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,8,8,0,1929,09,03
,"Jask, Iran",Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,5,3,0,1929,09,06
,"Off Larache, Morocco",Aeropostale,,Latecoere 25-3-R,5,5,0,1929,09,17
,"Jacumba, California",Pickwick Airways,Tijuana - Nogales,Fairchild 71,2,1,0,1929,09,17
,"Mt Lamentation, Connecticut",Colonial Air Transport,,Pitcairn PA-6 Mailwing,1,1,0,1929,09,17
,"Off Spezia, Italy",Imperial Airways,,Short Calcutta,7,7,0,1929,10,26
,"Mount Vernon, Ohio",Continental Air Lines,Cleveland - Louisville,Stearman C-38,1,1,0,1929,10,29
,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton,Loening C-2C,2,2,0,1929,10,31
,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Mexico City - Juarez,Lockheed Vega 5,4,4,0,1929,11,04
,"Near Godstone, Surrey, England",Deutsche Lufthansa,Amsterdam - Croyden,Junkers G-24,8,7,0,1929,11,06
,"Off Corsica, France",Air Union,,Liore et Olivier 190,3,3,0,1929,11,15
,"Vancouver, Washington",Varney Air Lines,,Stearman M-2 Speedmail,1,1,0,1929,11,30
,"Chagrin Falls, Ohio",National Air Transport,,Douglas M-3,1,1,0,1929,12,02
,Mediterranean Sea,Aeropostale,,Bernard 192,3,3,0,1929,12,14
,"Near Berlin, Germany",Deutsche Lufthansa,,Arado V1,3,2,0,1929,12,19
,"Amarillo, Texas",Trans Continental Air Transport,,Travel Air B6000,5,5,0,1929,12,30
,"Brawnson, Nebraska",Boeing Air Transport,,Boeing 95,1,1,0,1930,01,10
,"Antananarivo, Madagascar",Air Orient,,Farman 190,3,3,0,1930,01,13
,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,16,16,0,1930,01,19
,"Off Ceuta, Spain",Aeropostale,,Latecoere 25,2,2,0,1930,01,25
,"Kansas City, Kansas",Central  Airlines,"Wichita - Kansas City, KS",Travel Air A6000A,5,5,0,1930,01,27
,"Hartford, Connecticut",Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,1,1,0,1930,02,03
,"Marden, England",Air Union,,Farman F-63,2,2,0,1930,02,10
,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,4,4,0,1930,04,18
,Buenos Aires,Aeropostale,,Latecoere 28,4,3,0,1930,05,10
,"Boston, Massachusetts",Colonial Air Transport,,Ford Tri-Motor 5,15,1,0,1930,06,05
,"Bornholm, Denmark",Deutsche Lufthansa,Stettin - Norway,Dornier Wal,8,5,0,1930,07,07
,"Arkansas Pass, Texas",Cross Airways,,Lockheed Vega 5,5,5,0,1930,07,10
,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,11,10,0,1930,08,22
,"Croydon, England",Sabena,,Sabca F-VII,2,2,0,1930,09,11
,"Southesk, Saskatchewan, Canada",Western Canada Airways,Calgary - Moosejaw,,3,3,0,1930,09,25
,"Near Beauvais, France",Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,54,48,0,1930,10,05
,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,8,8,0,1930,10,06
,"La Rache, Morocco",Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4,4,0,1930,10,12
,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,Lockheed Vega,3,3,0,1930,10,28
,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,6,3,0,1930,10,30
,"Brookston, Indiana",Embry Riddle Company,,Pitcairn PA-6 Mailwing,1,1,0,1930,10,30
,"Off of Santos, Brazil",Syndicato Condor,,Junkers G-24,9,1,0,1930,11,07
,"Techachapi Mountains, California",PacifiAir Transport,"Burbank, CA - Oakland, CA",Boeing 40,3,3,,1930,11,18
,"Shanghai, China",China National Aviation Corporation,Shanghai - Hankow,Loening C-W Air Yaht,6,4,0,1930,12,09
,"Melle, Belgium",Sabena,,Fokker F-VII,2,2,0,1931,01,08
,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,1,1,0,1931,01,22
,"Wairoa, New Zealand",Dominion Air Lines,,Desoutter II,1,1,0,1931,02,08
,"Bagot, Manitoba, Canada",Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,3,2,0,1931,02,20
,Off Spain,Aeropostale,,Latecoere 32,3,1,0,1931,02,24
,"New South Wales, Australia",Australian National Airways,,Avro 10,8,8,0,1931,03,21
,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,8,8,0,1931,03,31
,"Near Letschen, Germany",Deutsche Lufthansa,,Messerschmitt M-20,10,2,0,1931,04,14
,"Burbank, California",PacifiAir Transport,San Diego - Los Angeles,Boeing 40,2,2,0,1931,05,05
,"Wampit, Australia",Guiena Airways,,Junkers W-34,1,1,0,1931,05,22
,"Bellefonte, Pennsylvania",National Air Transport,,Boeing 95,1,1,0,1931,05,24
,"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,4,4,0,1931,06,07
,"Walbridge, Ohio",Rubner Flying Service,,Lockheed Vega 2,3,2,0,1931,06,11
,"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,4,4,0,1931,06,13
,"Chicago, Illinois",Braniff Airlines,Chicago - Detroit,Lockheed Vega,2,2,0,1931,07,12
,"Temora, Australia",Australian Aerial Services,,Lasco Lascowl,2,2,0,1931,07,14
,"Centralia, Illinois",American Airways,,Pitcairn PA-6 Mailwing,1,1,0,1931,07,21
,"Kurudjevo, Bulgaria",CIDNA,Constantinople - Budapest,Fokker F-VII,7,7,0,1931,07,24
,"Cincinnati, Ohio",American Airways,,Ford 5-AT-C Tri Motor,6,6,0,1931,08,09
,"Chicago, Illinois",Chicago-Detroit Airways,,Lockheed Vega,1,1,0,1931,09,14
,"Oakland, California",PacifiAir Transport,"Oakland, CA - Seattle, WA",Boeing 40,4,4,0,1931,09,16
,"Novia Scotia, Canada",Deutsche Lufthansa,,Heinkel HE-2,3,3,0,1931,10,06
,Brazil,Syndicato Condor,,Dornier Wal,3,3,0,1931,10,14
,"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,5,5,0,1931,11,05
,"Sir Lowry's pass, South Africa",Union Airways,,De Havilland DH.80,3,3,0,1931,11,13
,"Salt Lake City, Utah",Boeing Air Transport,,Boeing 40,1,1,0,1931,11,23
,"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,3,3,0,1931,11,24
,"Pasco, Washington",Varney Air Lines,"Portland,  WA - Pasco, WA",Boeing 40,1,1,0,1931,11,26
,"Kewanee, Illinois",Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,6,2,0,1931,12,05
,"Bangkok, Thailand",KLM Royal Dutch Airlines,,Fokker F-VIIb-3M,7,5,0,1931,12,06
,Off Algiers,Aeropostale,,CAMS 56,2,2,0,1931,12,09
,"Springfield, Ohio",American Airways,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,5,4,0,1931,12,31
,"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,1,1,0,1932,01,21
,"Lebec, California",Century PacifiLines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,8,8,0,1932,01,29
,"Off Miami, Florida",Bimini Airways,Miami - Bimini,Fairchild,5,5,0,1932,02,01
,"Marcellus, Michigan",Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3MB,1,1,0,1932,02,02
,"Rio Vista, California",Boeing Air Transport,,Boeing 40,2,1,0,1932,02,02
,"Off Setiba, Brazil",Aeropostale,,Latecoere 28,3,3,0,1932,02,27
,"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,5,2,0,1932,03,08
,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,7,7,0,1932,03,19
,"Steubenville, Ohio",Trans Continental and Western Air,Columbus - McKeesport,Northrop Alpha,1,1,0,1932,03,21
,Syria,Air Orient,,Farman F-190,3,3,0,1932,03,29
,"Bedford, Ohio",National Air Transport,,Boeing 95,1,1,0,1932,03,31
,"Fort Wayne, Indiana",Transamerica Airlines,,Stearman C-3MB,1,1,0,1932,04,21
,"Portland, Oregon",Varney Air Lines,,Boeing 40,2,2,0,1932,05,03
,"Burbank, California",PacifiAir Transport,San Diego - Burbank - Oakland,Boeing 40,3,3,0,1932,05,16
,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,9,9,0,1932,07,16
,"Beyrouth, Lebanon",Air Orient,,CAMS 53,7,1,0,1932,08,12
,"Tubergen, Germany",A B Aerotransport,,Junkers G-23,2,2,0,1932,08,30
,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,4,3,0,1932,09,08
,"Selsdon Park, England",Air Union,,Liore-et-Olivier 213,2,1,0,1932,09,17
,"Byron Bay, Australia",New England Airways,,De Havilland DH-80,3,3,0,1932,09,18
,"Port Etienne, Mauritania",Aeropostale,,Latecoere 28,1,1,0,1932,10,12
,"Villa Monte, Bolivia",Lloyd Aero Boliviano,,Ford Tri-motor 5,2,2,0,1932,10,26
,"Ramsgate, England",Deutsche Lufthansa,,Junkers W-33,2,2,0,1932,10,29
,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,5,5,0,1932,11,02
,"Marianna, Arkansas",Hunter Airways,"Little Rock, AR - Memphis, TN",Travel Air 6000,2,2,0,1932,11,25
,"Amarillo, Texas",Trans Continental and Western Air,,Ford 5,2,2,0,1932,12,14
,"Rocky Ridge, Colorado",Boeing Air Transport,,Boeing 40,1,1,0,1932,12,14
