,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Sumatra, Indonesia",Pan Malaysian Air Transport,Medan - Banda Aceh - Jakarta,Shorts SC-7 Skyvan 3-100,16,16,0,1993,01,31
,"Near Tehran, Iran",Iran Air Tours  /  Military - Iranian Air Force,Tehran - Khoram,Tupolev TU-154M / Sukhoi Su-24,133,133,0,1993,02,08
,"Near Daraim, Afghanistan",Military - Afghan Republican Air Force,Faisabad - Daraim,Mil Mi-8,30,30,0,1993,02,10
,"Bogota, Colombia",Cargo Three Panama,,Convair CV-440,2,2,0,1993,02,20
,"Off Green Island, Taiwan",Formosa Airlines,,Dornier 228-201,6,6,0,1993,02,28
,"Skopje, Macedonia",Palair Macedonian,Skopje - Zürich,Fokker 100,97,83,0,1993,03,05
,"Grants, New Mexico",Air Taxi - Guinn Flying Service,"Albuquerque, NM - Oakland, CA",Beechcraft 58,4,4,0,1993,03,14
,"Dagali, Norway",West Aviation,Pucallpa - Dagali - Trujillo,Beech Super King Air 200,10,3,0,1993,03,19
,"Near Tangara de Serra, Brazil",Oeste Linhas Aereas,Cuiaba - Vihena - Rondonia,Embraer EMB-110 Bandeirante,6,6,0,1993,03,23
,"Anchorage, Alaska",Japan Air Lines,,Boeing B-747-466,5,0,0,1993,03,31
,"Blountville, Tennesee",Private,"Bristol, TN - Blountville, TN",Fairchild SA227-TT,4,4,0,1993,04,01
,"Aspen, Colorado",Air Taxi - Sea PacifiInc.,,Aerospatiale SA316B,4,3,0,1993,04,01
,"Off Margarita Island, Venezuela",Linea Aeropostal Venezolana,Test,McDonnell Douglas DC-9-15,11,11,0,1993,04,02
,"950 nm S of  Shemya, Alaska",China Eastern Airlines,Shanghai - Los Angeles,McDonnell Douglas MD-11,264,2,0,1993,04,06
,"Zwingle, Iowa",Private,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,8,8,0,1993,04,19
,"Zavnah, Mongolia",MIAT - Mongolian Airlines,Ulan Bator - Bayan Olgiy,Antonov AN-26B,40,40,0,1993,04,23
,"Aurangabad, India",Indian Airlines,Aurangabad - Bombay,Boeing B-737-2A8,118,56,0,1993,04,26
,"Near Kholm, Afghanistan",Military - Afghan Republican Air Force,Kabul - Mazar-i- Sharif,Antonov AN-32,76,76,0,1993,04,27
,"Off  Libreville, Gambia",Military - Zambian Air Force,Lusaka - Libreville - Dakar,de Havilland  Canada  DHC-5D Buffalo,30,30,0,1993,04,27
,"Shelton, Nebraska",GP Express Airlines,Training,Beechcraft C99,2,2,0,1993,04,28
,"Suva, Fiji",Fiji Air,,Britten-Norman BN-2A-6 Islander,2,2,0,1993,05,11
,"Near Cancun, Mexico",Carga del Caribe,,Douglas DC-6BF,5,3,0,1993,05,15
,"Near Medellin, Colombia",SAM Colombia,Panama City - Medellin,Boeing B-727-46,132,132,0,1993,05,19
,"El Yopal, Colombia",Aerotaca,Bogota - El Yopal,de Havilland Canada DHC-6 Twin Otter 300,2,2,0,1993,06,06
,"Near Ariab, Sudan",Sasco Air Lines,,Cessna 404 Titan,11,11,0,1993,06,07
,"Gulgubip, Papua New Guinea",Southwest Air,,Britten-Norman  BN-2A-20 Trislander,11,9,0,1993,06,09
,"Nabire, Indonesia",Merpati Nasantara Airlines,,de Havilland Canada DHC-6 Twin Otter 300,3,1,0,1993,06,16
,"Near Tbilisi, Georgia",Tajikistan Airlines,Batumi - Baku - Chimkent,Antonov AN-26,40,40,0,1993,06,17
,"Sorong, Irian Jaya, Indonesia",Merpati Nusantara Airlines,Ambo - Sorong,Fokker F-28 Fellowship 3000,43,41,0,1993,07,01
,"Near Ochamchire, Georgia",Military - Georgian Air Force,,Mil Mi-8,23,23,0,1993,07,06
,"Las Vegas, Nevada",Hyannis Air Service - Air Taxi,,Cessna 402C,3,3,0,1993,07,12
